learning_rate,lambda_sym_max,symmetry_layer,test_task_loss,test_sym_loss
0.0003,0.0,1,0.0001346293046253777,379.78567123413086
0.0003,0.0,2,0.0001346293046253777,213.21680545806885
0.0003,0.0,3,0.0001346293046253777,56.534992933273315
0.0003,0.0,4,0.0001346293046253777,5.439129590988159
0.0003,0.0,5,0.0001346293046253777,0.5766373760998249
0.0003,0.0,6,0.0001346293046253777,0.0764960921369493
0.0003,0.0,-1,0.0001346293046253777,7.922932485371348e-05
0.0003,0.1,1,0.003215600248950068,1.4477327614503821e-08
0.0003,0.1,2,0.0032155633489310276,0.0001725421261653537
0.0003,0.1,3,9.169662757813057e-05,0.00042975099859177135
0.0003,0.1,4,8.56240706070821e-05,0.0002483910157025093
0.0003,0.1,5,8.675677349856414e-05,0.0001760930686032225
0.0003,0.1,6,6.52283207500659e-05,0.00012191060795885278
0.0003,0.1,-1,9.769995563146949e-05,3.508289819365018e-05
0.0003,0.5,1,0.0032156863126147073,2.0784497500869747e-07
0.0003,0.5,2,0.003215596269001253,0.00019236470780015225
0.0003,0.5,3,0.00011464751196399448,0.00018563848243502434
0.0003,0.5,4,0.0001189437675748195,0.00012045294670315343
0.0003,0.5,5,0.0001419473539954197,8.904672154130822e-05
0.0003,0.5,6,8.812723592654947e-05,5.4358754709937784e-05
0.0003,0.5,-1,0.0001263048861801508,3.488766228088025e-05
0.0003,1.0,1,0.0032156282832147554,3.583707886001264e-08
0.0003,1.0,2,0.0032156040506379213,0.00022875891045259777
0.0003,1.0,3,0.0003186299700246309,0.00018114908743882552
0.0003,1.0,4,0.00010092191428157093,4.9448309027866344e-05
0.0003,1.0,5,9.428019632196083e-05,3.673464641451574e-05
0.0003,1.0,6,0.00012310425972827943,0.00011155501738357998
0.0003,1.0,-1,0.00012063502435921691,3.820187941983022e-05
0.0003,5.0,1,0.003215707816707436,1.9257933581151576e-08
0.0003,5.0,2,0.0032156110974028707,0.0002550533154135337
0.0003,5.0,3,0.0007549041361016862,2.3598885604769748e-05
0.0003,5.0,4,0.00016590748873568373,8.49402681524225e-06
0.0003,5.0,5,7.320615827666188e-05,7.264438295351283e-06
0.0003,5.0,6,6.109258720243815e-05,1.2078982258856286e-05
0.0003,5.0,-1,8.292133770737564e-05,1.6808530318712656e-05
0.0003,10.0,1,0.0032157708374143112,1.6750667342080305e-07
0.0003,10.0,2,0.003215680000721477,0.0001249200536221906
0.0003,10.0,3,0.0006906324606461567,3.1310728786593245e-05
0.0003,10.0,4,0.0003809954027929052,1.3188203126901499e-05
0.0003,10.0,5,5.382965287026309e-05,2.5936263270409654e-06
0.0003,10.0,6,0.00016250756607405492,1.6820075160239867e-05
0.0003,10.0,-1,0.0001918027833198721,2.771965716874547e-05
