learning_rate,lambda_sym_max,symmetry_layer,test_task_loss,test_sym_loss
0.0001,0,1,8.624869315099204e-05,732.8671722412109
0.0001,0,2,8.624869315099204e-05,314.3826904296875
0.0001,0,3,8.624869315099204e-05,65.54708099365234
0.0001,0,4,8.624869315099204e-05,10.21521943807602
0.0001,0,-1,8.624869315099204e-05,2.9249424812860525e-05
0.0001,0.001,1,0.002508327104806085,0.31962794438004494
0.0001,0.001,2,0.002485197470377898,3.49859334392022e-05
0.0001,0.001,3,5.3460177809938614e-05,0.02071098401211202
0.0001,0.001,4,4.7345636062345875e-05,0.010153933544643223
0.0001,0.001,-1,7.04306980878755e-05,3.839029028540608e-05
0.0001,0.003,1,0.0024849316687323153,0.08648382499814034
0.0001,0.003,2,0.002485067361703841,8.697587782080518e-05
0.0001,0.003,3,8.657630996822263e-05,0.012327952834311873
0.0001,0.003,4,4.308161749122519e-05,0.00431211652175989
0.0001,0.003,-1,0.00013462517313200806,9.422473442555201e-05
0.0001,0.01,1,0.002487519170244923,0.058733942452818155
0.0001,0.01,2,0.002484748030838091,9.242168061973643e-05
0.0001,0.01,3,7.890634492468962e-05,0.0035414555604802445
0.0001,0.01,4,6.012750145600876e-05,0.0020251841633580625
0.0001,0.01,-1,7.513676337111974e-05,3.940817003922348e-05
0.0001,0.03,1,0.0024844119980116375,0.04998027393594384
0.0001,0.03,2,0.0024853027862263843,0.00013276668187245377
0.0001,0.03,3,7.332326526920951e-05,0.0016479044352308847
0.0001,0.03,4,8.592835524723341e-05,0.0010711664872360416
0.0001,0.03,-1,7.562040877928666e-05,3.091952169143042e-05
0.0001,0.1,1,0.002484710073986207,0.047315239207819104
0.0001,0.1,2,0.0024851313519320684,0.00011618190774242976
0.0001,0.1,3,0.00015412445623042004,0.000711468394001713
0.0001,0.1,4,8.33794924801623e-05,0.0003512576276989421
0.0001,0.1,-1,7.217718234642234e-05,1.9460022429029777e-05
0.0001,0.2,1,0.002485126571627916,0.04697202565148473
0.0001,0.2,2,0.002484877270035213,0.0001431567984582216
0.0001,0.2,3,0.00014116336546976527,0.0004664325952035142
0.0001,0.2,4,8.176655751412909e-05,0.00022394530151359504
0.0001,0.2,-1,9.112884163187118e-05,2.7271835620013007e-05
0.0001,0.3,1,0.0024851327143551316,0.04690880188718438
0.0001,0.3,2,0.002485197601345135,0.00012968533656021464
0.0001,0.3,3,0.00016147618953255005,0.00021535770702030277
0.0001,0.3,4,7.63801419907395e-05,0.00016105508984765038
0.0001,0.3,-1,5.036859386109427e-05,1.8320390324788605e-05
0.0001,0.5,1,0.0024851758316799533,0.046877202577888966
0.0001,0.5,2,0.0024853140603227075,0.00013199503200667095
0.0001,0.5,3,0.00019659684494399698,0.0001747230517139542
0.0001,0.5,4,0.00012331682091826224,0.00012092726547052735
0.0001,0.5,-1,7.453443186022923e-05,1.4237119444260316e-05
0.0001,1.0,1,0.0024847166750987526,0.04685407364740968
0.0001,1.0,2,0.0024852120823197765,0.00014209076425686362
0.0001,1.0,3,0.00021850987832294777,9.39970304898452e-05
0.0001,1.0,4,0.00014343192196974996,7.939529541545198e-05
0.0001,1.0,-1,4.6023879122003564e-05,1.3415206382205724e-05
0.0001,2.0,1,0.0024847972472343827,0.046851413790136576
0.0001,2.0,2,0.00248516471037874,0.00013086659782857168
0.0001,2.0,3,0.0005481025073095225,0.00010135583124792902
0.0001,2.0,4,0.0001687924063844548,3.6937340155418497e-05
0.0001,2.0,-1,4.65764468344787e-05,1.0575949843882881e-05
0.0001,3.0,1,0.0024842858911142685,0.046849407721310854
0.0001,3.0,2,0.002485219387381221,0.00012765729616148747
0.0001,3.0,3,0.0005497301081049955,6.364371756717446e-05
0.0001,3.0,4,0.00017609273004381976,2.9183424317125173e-05
0.0001,3.0,-1,5.371571467094327e-05,9.150204832053532e-06
0.0001,5.0,1,0.0024851362486515427,0.04684867640025914
0.0001,5.0,2,0.0024852190872479696,0.00013007963661948452
0.0001,5.0,3,0.0006259934561967384,9.403692092746496e-05
0.0001,5.0,4,0.00023353089159172669,2.673920562301646e-05
0.0001,5.0,-1,7.380195688710955e-05,1.5980223530220883e-05
0.0001,10.0,1,0.0024847100339684403,0.046848400263115764
0.0001,10.0,2,0.0024852488804754103,0.00016118707480927696
0.0001,10.0,3,0.0006923332102815039,4.82336270124506e-05
0.0001,10.0,4,0.0002551277530074003,8.688950828172892e-06
0.0001,10.0,-1,7.61246212732658e-05,9.563504946186185e-06
0.0001,100.0,1,0.0024871019122656435,0.046848243568092585
0.0001,100.0,2,0.0024854007224348607,0.00013116559193804278
0.0001,100.0,3,0.002485455481291865,3.947374193558062e-05
0.0001,100.0,4,0.0024834032337821554,1.4106382728584776e-07
0.0001,100.0,-1,0.000807001197244972,4.364684891733361e-06
0.0001,0.0,,8.624869315099204e-05,0.0
