learning_rate,lambda_sym_max,symmetry_layer,test_task_loss,test_sym_loss
0.0003,0,1,9.064515103318627e-05,208.42936992645264
0.0003,0,2,9.064515103318627e-05,43.09683585166931
0.0003,0,3,9.064515103318627e-05,2.5795363783836365
0.0003,0,4,9.064515103318627e-05,0.18683854583650827
0.0003,0,-1,9.064515103318627e-05,3.2003592863816266e-05
0.0003,0.001,1,0.00041435253297095187,0.44918728433549404
0.0003,0.001,2,5.473347391671268e-05,0.02032803138718009
0.0003,0.001,3,0.00022771044802993856,0.007403241848805919
0.0003,0.001,4,6.87135138832673e-05,0.002244610703201033
0.0003,0.001,-1,0.00014127792894669255,7.35608491027051e-05
0.0003,0.003,1,0.0003871646208608581,0.13542692130431533
0.0003,0.003,2,4.3869496266779606e-05,0.007299986493308097
0.0003,0.003,3,8.130986793730699e-05,0.002847546580596827
0.0003,0.003,4,8.8821194196953e-05,0.0011428177094785497
0.0003,0.003,-1,8.931825306035535e-05,6.312409466602276e-05
0.0003,0.01,1,0.0018079617384501034,1.0863119996429305e-05
0.0003,0.01,2,4.833887089716882e-05,0.0022242183767957613
0.0003,0.01,3,5.802895668693964e-05,0.0008293251703435089
0.0003,0.01,4,0.00024606815236438706,0.0008493381883454276
0.0003,0.01,-1,0.0001042520170244643,6.027835559052619e-05
0.0003,0.03,1,0.0018102213562087854,1.5424972232835898e-06
0.0003,0.03,2,7.319960366203304e-05,0.001146346992754843
0.0003,0.03,3,3.818660866272694e-05,0.0004254187697370071
0.0003,0.03,4,8.24260389435949e-05,0.0002689441498660017
0.0003,0.03,-1,0.0001357761241820299,4.947068011063038e-05
0.0003,0.1,1,0.0018031986492133,8.698172564436391e-07
0.0003,0.1,2,4.327199235376611e-05,0.0006228163911146112
0.0003,0.1,3,4.341049179856782e-05,0.00018955271116283257
0.0003,0.1,4,0.00017133024334725633,0.0003511205677568796
0.0003,0.1,-1,5.1945981056178425e-05,2.5707128401109003e-05
0.0003,0.2,1,0.001805783975214581,6.733254483970441e-07
0.0003,0.2,2,6.635130102949915e-05,0.0004058474241901422
0.0003,0.2,3,3.8705383076376165e-05,9.690859542388353e-05
0.0003,0.2,4,2.6311292401715036e-05,6.73917045332928e-05
0.0003,0.2,-1,3.092571793672505e-05,1.72119426053996e-05
0.0003,0.3,1,0.0018058527584798867,7.006552698030077e-07
0.0003,0.3,2,7.218455778001953e-05,0.00034617341225384735
0.0003,0.3,3,3.716438939704858e-05,6.752455283276504e-05
0.0003,0.3,4,6.18757801476022e-05,6.356155336106895e-05
0.0003,0.3,-1,4.031833856288358e-05,2.2211276785810696e-05
0.0003,0.5,1,0.0018031359650194645,6.72425545689137e-07
0.0003,0.5,2,7.035807232114166e-05,0.00032466292213939596
0.0003,0.5,3,3.6215182205978635e-05,5.5798239600335364e-05
0.0003,0.5,4,0.0001587735287102987,6.33225308774854e-05
0.0003,0.5,-1,3.487641430410804e-05,1.6516076925654488e-05
0.0003,1.0,1,0.0018029119564744178,7.573089186863058e-07
0.0003,1.0,2,4.773386984879835e-05,0.00024092101011774503
0.0003,1.0,3,0.0001150695430851556,5.014363591726578e-05
0.0003,1.0,4,6.532469365083671e-05,2.5914261470916244e-05
0.0003,1.0,-1,5.71496937595839e-05,1.037850650220662e-05
0.0003,2.0,1,0.0018065258318529231,6.61256496892193e-07
0.0003,2.0,2,5.580211927735945e-05,0.00019539867753337603
0.0003,2.0,3,5.0595191851243726e-05,3.056568232295831e-05
0.0003,2.0,4,0.00010679596289264737,1.6533695813336635e-05
0.0003,2.0,-1,8.060743357418687e-05,1.0558762809864675e-05
0.0003,3.0,1,0.0018081319904013071,6.704549602165599e-07
0.0003,3.0,2,6.227396011126984e-05,0.0001752927264533355
0.0003,3.0,3,5.116985948916408e-05,1.9373315126358648e-05
0.0003,3.0,4,0.00013165764858058537,8.71427640447564e-06
0.0003,3.0,-1,5.884428810531972e-05,7.343710585416829e-06
0.0003,5.0,1,0.0018068147364829201,6.678543957860938e-07
0.0003,5.0,2,0.0001226549352395523,0.0001683125219642534
0.0003,5.0,3,7.206697625861125e-05,1.3565209599164518e-05
0.0003,5.0,4,7.203689142443181e-05,7.2002915132429735e-06
0.0003,5.0,-1,2.926975992068037e-05,5.594257865837449e-06
0.0003,10.0,1,0.0018053039821097627,6.605807936210795e-07
0.0003,10.0,2,0.0001316713513688228,0.0001718902231004904
0.0003,10.0,3,0.00013587231524070376,5.9357879109711575e-06
0.0003,10.0,4,5.503241891346988e-05,4.7467105641629814e-06
0.0003,10.0,-1,5.664382513259625e-05,5.576833931542069e-06
0.0003,100.0,1,0.0018011760384979425,6.654528172944651e-07
0.0003,100.0,2,0.0005125347606735886,0.00018607444326335099
0.0003,100.0,3,0.0005249874848232139,1.6671676661417223e-06
0.0003,100.0,4,0.0004069491592417762,1.0209811902583965e-06
0.0003,100.0,-1,0.00048085487105709035,3.9928320698656705e-06
0.0003,0.0,,9.064515103318627e-05,0.0
