learning_rate,lambda_sym_max,symmetry_layer,test_task_loss,test_sym_loss,test_rel_rmse
0.0001,0.001,1,0.1175088956952095,0.8844911456108093,0.39868791847308144
0.0001,0.001,2,0.09773935470730066,0.18759354576468468,0.35733446222530324
0.0001,0.001,3,0.10493807028979063,0.037845577113330364,0.37459359037303086
0.0001,0.001,4,0.1270187208428979,120.09850692749023,0.412830048753268
0.0001,0.001,5,0.08371299784630537,62.94480895996094,0.3355412102348766
0.0001,0.001,6,0.06643903348594904,21.866636276245117,0.29957792873615935
0.0001,0.001,7,0.07479959446936846,10.996479272842407,0.31955851138344954
0.0001,0.001,-1,0.09980186261236668,0.9560433477163315,0.365981079475832
0.0001,0.01,1,0.1223666025325656,0.8906488120555878,0.4016079565120562
0.0001,0.01,2,0.11920274794101715,0.1867050863802433,0.401066337437524
0.0001,0.01,3,0.11082806438207626,0.03825710387900472,0.3972440706049112
0.0001,0.01,4,0.03954432858154178,9.839540481567383,0.23712370943868105
0.0001,0.01,5,0.12734372355043888,13.448342680931091,0.41077713814404493
0.0001,0.01,6,0.07091507455334067,11.03988790512085,0.3101793726011714
0.0001,0.01,7,0.042310414370149374,4.6476553082466125,0.23489508676383544
0.0001,0.01,-1,0.07854265067726374,0.7799766957759857,0.3278369872040616
0.0001,0.1,1,0.1223265528678894,0.8784994184970856,0.4010284382779124
0.0001,0.1,2,0.10555508639663458,0.18181097880005836,0.37805326279940643
0.0001,0.1,3,0.09678622428327799,0.03748423419892788,0.3590703653741801
0.0001,0.1,4,0.23520120978355408,158.22914123535156,0.5635834780627482
0.0001,0.1,5,0.24083107709884644,32.204692125320435,0.5675457830710249
0.0001,0.1,6,0.1106667872518301,1.259464517235756,0.3873302158964057
0.0001,0.1,7,0.13094575982540846,0.8879780098795891,0.40835160893596467
0.0001,0.1,-1,0.03710344806313515,0.25726073794066906,0.22685492475873664
0.0001,1.0,1,0.10582462046295404,0.8018909767270088,0.3730987660114371
0.0001,1.0,2,0.11111888382583857,0.14122950285673141,0.3843011242358206
0.0001,1.0,3,0.1227189777418971,0.031964067835360765,0.41448609181479784
0.0001,1.0,4,0.30240171030163765,16.14592683315277,0.6397200247836948
0.0001,1.0,5,0.4503880403935909,4.085986793041229,0.7818803778637323
0.0001,1.0,6,0.2457864973694086,10.09176242351532,0.56832883354268
0.0001,1.0,7,0.2501303292810917,0.11280219443142414,0.5758565193703905
0.0001,1.0,-1,0.043228904251009226,0.04897578014060855,0.24074174264607456
0.0001,10.0,1,0.13325070589780807,0.49947552755475044,0.4201167579529729
0.0001,10.0,2,0.10396499466150999,0.026022271253168583,0.37263017346386723
0.0001,10.0,3,0.08257198520004749,0.01157469826284796,0.33325875313319814
0.0001,10.0,4,0.5364808440208435,5.775842308998108,0.8505313970686944
0.0001,10.0,5,0.5374946147203445,1.1931518614292145,0.8585181269538021
0.0001,10.0,6,0.49819154664874077,4.754276216030121,0.8130215111882766
0.0001,10.0,7,0.3846626430749893,3.082338362932205,0.71933386525195
0.0001,10.0,-1,0.20744331181049347,0.008331623452249914,0.5278321284174129
0.0001,0.0,,0.09590624179691076,,0.3675726637669427
